2025-06-11 15:25:31 - Face detected at X:275, Y:141, W:200, H:200
2025-06-11 15:25:31 - Face detected at X:275, Y:142, W:200, H:200
2025-06-11 15:25:31 - Face detected at X:276, Y:143, W:198, H:198
2025-06-11 15:25:31 - Face detected at X:275, Y:144, W:198, H:198
2025-06-11 15:25:31 - Face detected at X:274, Y:144, W:197, H:197
2025-06-11 15:25:31 - Face detected at X:275, Y:142, W:198, H:198
2025-06-11 15:25:31 - Face detected at X:275, Y:142, W:200, H:200
2025-06-11 15:25:31 - Face detected at X:275, Y:143, W:199, H:199
2025-06-11 15:25:31 - Face detected at X:276, Y:143, W:196, H:196
2025-06-11 15:25:31 - Face detected at X:276, Y:143, W:197, H:197
2025-06-11 15:25:31 - Face detected at X:274, Y:143, W:201, H:201
2025-06-11 15:25:31 - Face detected at X:276, Y:145, W:196, H:196
2025-06-11 15:25:31 - Face detected at X:277, Y:146, W:194, H:194
2025-06-11 15:25:32 - Face detected at X:277, Y:144, W:196, H:196
2025-06-11 15:25:32 - Face detected at X:277, Y:144, W:197, H:197
2025-06-11 15:25:32 - Face detected at X:276, Y:143, W:199, H:199
2025-06-11 15:25:32 - Face detected at X:275, Y:144, W:200, H:200
2025-06-11 15:25:32 - Face detected at X:276, Y:147, W:196, H:196
2025-06-11 15:25:32 - Face detected at X:274, Y:144, W:200, H:200
2025-06-11 15:25:32 - Face detected at X:276, Y:147, W:195, H:195
2025-06-11 15:25:32 - Face detected at X:277, Y:147, W:193, H:193
2025-06-11 15:25:32 - Face detected at X:275, Y:147, W:197, H:197
2025-06-11 15:25:32 - Face detected at X:277, Y:148, W:194, H:194
2025-06-11 15:25:32 - Face detected at X:276, Y:147, W:196, H:196
2025-06-11 15:25:32 - Face detected at X:276, Y:147, W:196, H:196
2025-06-11 15:25:32 - Face detected at X:275, Y:147, W:195, H:195
2025-06-11 15:25:32 - Face detected at X:276, Y:146, W:196, H:196
2025-06-11 15:25:32 - Face detected at X:275, Y:147, W:194, H:194
2025-06-11 15:25:32 - Face detected at X:275, Y:146, W:197, H:197
2025-06-11 15:25:32 - Face detected at X:275, Y:145, W:196, H:196
2025-06-11 15:25:32 - Face detected at X:275, Y:146, W:197, H:197
2025-06-11 15:25:32 - Face detected at X:274, Y:146, W:198, H:198
2025-06-11 15:25:32 - Face detected at X:272, Y:144, W:201, H:201
2025-06-11 15:25:32 - Face detected at X:273, Y:144, W:203, H:203
2025-06-11 15:25:32 - Face detected at X:276, Y:147, W:193, H:193
2025-06-11 15:25:32 - Face detected at X:275, Y:145, W:199, H:199
2025-06-11 15:25:32 - Face detected at X:274, Y:145, W:199, H:199
2025-06-11 15:25:32 - Face detected at X:274, Y:145, W:199, H:199
2025-06-11 15:25:32 - Face detected at X:275, Y:145, W:199, H:199
2025-06-11 15:25:32 - Face detected at X:275, Y:145, W:200, H:200
2025-06-11 15:25:32 - Face detected at X:272, Y:144, W:202, H:202
2025-06-11 15:25:32 - Face detected at X:274, Y:145, W:200, H:200
2025-06-11 15:25:33 - Face detected at X:274, Y:145, W:200, H:200
2025-06-11 15:25:33 - Face detected at X:273, Y:146, W:199, H:199
2025-06-11 15:25:33 - Face detected at X:272, Y:143, W:202, H:202
2025-06-11 15:25:33 - Face detected at X:273, Y:146, W:200, H:200
2025-06-11 15:25:33 - Face detected at X:273, Y:145, W:200, H:200
2025-06-11 15:25:33 - Face detected at X:269, Y:143, W:204, H:204
2025-06-11 15:25:33 - Face detected at X:270, Y:143, W:203, H:203
2025-06-11 15:25:33 - Face detected at X:268, Y:142, W:206, H:206
2025-06-11 15:25:33 - Face detected at X:267, Y:142, W:207, H:207
2025-06-11 15:25:33 - Face detected at X:267, Y:142, W:207, H:207
